Phenotype,Read code,Description,DESC_UKHD,DESC_UKHD_30,DESC_UKHD_60,DESC_UKHD_198,Category
CANCER                        ,BB19.,"[M]Carcinoma, anaplastic type, NOS                                                                                                                                                                                                                             ","[M]Carcinoma, anaplastic type, NOS                                                                                                                                                                    ","[M]Carcinoma, anaplastic NOS  ","[M]Carcinoma, anaplastic type, NOS                          ",,Solid tumour (3)                                  
CANCER                        ,BB1A.,[M]Pleomorphic carcinoma                                                                                                                                                                                                                                       ,[M]Pleomorphic carcinoma                                                                                                                                                                              ,[M]Pleomorphic carcinoma      ,,,Solid tumour (3)                                  
CANCER                        ,BB1B.,[M]Giant cell and spindle cell carcinoma                                                                                                                                                                                                                       ,[M]Giant cell and spindle cell carcinoma                                                                                                                                                              ,[M]Giant cell+spindle cell ca.,[M]Giant cell and spindle cell carcinoma                    ,,Solid tumour (3)                                  
CANCER                        ,BB1C.,[M]Giant cell carcinoma                                                                                                                                                                                                                                        ,[M]Giant cell carcinoma                                                                                                                                                                               ,[M]Giant cell carcinoma       ,,,Solid tumour (3)                                  
CANCER                        ,BB1D.,[M]Spindle cell carcinoma                                                                                                                                                                                                                                      ,[M]Spindle cell carcinoma                                                                                                                                                                             ,[M]Spindle cell carcinoma     ,,,Solid tumour (3)                                  
CANCER                        ,BB1E.,[M]Pseudosarcomatous carcinoma                                                                                                                                                                                                                                 ,[M]Pseudosarcomatous carcinoma                                                                                                                                                                        ,[M]Pseudosarcomatous carcinoma,,,Solid tumour (3)                                  
CANCER                        ,BB1F.,[M]Polygonal cell carcinoma                                                                                                                                                                                                                                    ,[M]Polygonal cell carcinoma                                                                                                                                                                           ,[M]Polygonal cell carcinoma   ,,,Solid tumour (3)                                  
CANCER                        ,BB1G.,[M]Spheroidal cell carcinoma                                                                                                                                                                                                                                   ,[M]Spheroidal cell carcinoma                                                                                                                                                                          ,[M]Spheroidal cell carcinoma  ,,,Solid tumour (3)                                  
CANCER                        ,BB1J.,[M]Small cell carcinoma NOS                                                                                                                                                                                                                                    ,[M]Small cell carcinoma NOS                                                                                                                                                                           ,[M]Small cell carcinoma NOS   ,,,Solid tumour (3)                                  
CANCER                        ,BB1K.,[M]Oat cell carcinoma                                                                                                                                                                                                                                          ,[M]Oat cell carcinoma                                                                                                                                                                                 ,[M]Oat cell carcinoma         ,,,Solid tumour (3)                                  
CANCER                        ,BB1L.,"[M]Small cell carcinoma, fusiform cell type                                                                                                                                                                                                                    ","[M]Small cell carcinoma, fusiform cell type                                                                                                                                                           ","[M]Small cell ca.,fusiform    ","[M]Small cell carcinoma, fusiform cell type                 ",,Solid tumour (3)                                  
CANCER                        ,BB1M.,"[M]Small cell carcinoma, intermediate cell                                                                                                                                                                                                                     ","[M]Small cell carcinoma, intermediate cell                                                                                                                                                            ","[M]Small cell carc, interm cel","[M]Small cell carcinoma, intermediate cell                  ",,Solid tumour (3)                                  
CANCER                        ,BB1N.,[M]Small cell-large cell carcinoma                                                                                                                                                                                                                             ,[M]Small cell-large cell carcinoma                                                                                                                                                                    ,[M]Small cell-large cell carc ,[M]Small cell-large cell carcinoma                          ,,Solid tumour (3)                                  
CANCER                        ,BB22.,[M]Papillary carcinoma NOS                                                                                                                                                                                                                                     ,[M]Papillary carcinoma NOS                                                                                                                                                                            ,[M]Papillary carcinoma NOS    ,,,Solid tumour (3)                                  
CANCER                        ,BB24.,[M]Verrucous carcinoma NOS                                                                                                                                                                                                                                     ,[M]Verrucous carcinoma NOS                                                                                                                                                                            ,[M]Verrucous carcinoma NOS    ,,,Solid tumour (3)                                  
CANCER                        ,BB26.,[M]Papillary squamous cell carcinoma                                                                                                                                                                                                                           ,[M]Papillary squamous cell carcinoma                                                                                                                                                                  ,[M]Papillary squamous cell ca.,[M]Papillary squamous cell carcinoma                        ,,Non-melanoma skin cancer (8)                      
CANCER                        ,BB29.,[M]Intraepidermal carcinoma NOS                                                                                                                                                                                                                                ,[M]Squamous cell carcinoma in situ NOS                                                                                                                                                                ,[M]Squam cell ca-in-situ NOS  ,[M]Squamous cell carcinoma in situ NOS                      ,,Solid tumour (3)                                  
CANCER                        ,BB2A.,[M]Squamous cell carcinoma NOS                                                                                                                                                                                                                                 ,[M]Squamous cell carcinoma NOS                                                                                                                                                                        ,[M]Squamous cell carcinoma NOS,,,Non-melanoma skin cancer (8)                      
CANCER                        ,BB2B.,"[M]Squamous cell carcinoma, metastatic NOS                                                                                                                                                                                                                     ","[M]Squamous cell carcinoma, metastatic NOS                                                                                                                                                            ","[M]Squamous cell ca.,metastat.","[M]Squamous cell carcinoma, metastatic NOS                  ",,Metastases (6)                                    
CANCER                        ,BB2C.,"[M]Squamous cell carcinoma, keratinising type NOS                                                                                                                                                                                                              ","[M]Squamous cell carcinoma, keratinising type NOS                                                                                                                                                     ",[M]Squamous cell ca keratinis ,"[M]Squamous cell carcinoma, keratinising type NOS           ",,Non-melanoma skin cancer (8)                      
CANCER                        ,BB2D.,"[M]Squamous cell carcinoma, large cell, non-keratinising                                                                                                                                                                                                       ","[M]Squamous cell carcinoma, large cell, non-keratinising type                                                                                                                                         ","[M]Squamous ca.,large,non-ker.","[M]Squamous cell carcinoma, large cell, non-keratinising    ","[M]Squamous cell carcinoma, large cell, non-keratinising type                                                                                                                                         ",Non-melanoma skin cancer (8)                      
CANCER                        ,BB2E.,"[M]Squamous cell carcinoma, small cell, non-keratinising                                                                                                                                                                                                       ","[M]Squamous cell carcinoma, small cell, non-keratinising type                                                                                                                                         ","[M]Squamous ca.,small,non-ker.","[M]Squamous cell carcinoma, small cell, non-keratinising    ","[M]Squamous cell carcinoma, small cell, non-keratinising type                                                                                                                                         ",Non-melanoma skin cancer (8)                      
CANCER                        ,BB2F.,"[M]Squamous cell carcinoma, spindle cell type                                                                                                                                                                                                                  ","[M]Squamous cell carcinoma, spindle cell type                                                                                                                                                         ","[M]Squamous ca.,spindle cell  ","[M]Squamous cell carcinoma, spindle cell type               ",,Non-melanoma skin cancer (8)                      
CANCER                        ,BB2G.,[M]Adenoid squamous cell carcinoma                                                                                                                                                                                                                             ,[M]Adenoid squamous cell carcinoma                                                                                                                                                                    ,[M]Adenoid squamous cell ca.  ,[M]Adenoid squamous cell carcinoma                          ,,Non-melanoma skin cancer (8)                      
CANCER                        ,BB2J.,"[M]Squamous cell carcinoma, microinvasive                                                                                                                                                                                                                      ","[M]Squamous cell carcinoma, microinvasive                                                                                                                                                             ","[M]Squamous cell ca,.microinv.","[M]Squamous cell carcinoma, microinvasive                   ",,Non-melanoma skin cancer (8)                      
CANCER                        ,BB2M.,[M]Lymphoepithelial carcinoma                                                                                                                                                                                                                                  ,[M]Lymphoepithelial carcinoma                                                                                                                                                                         ,[M]Lymphoepithelial carcinoma ,,,Solid tumour (3)                                  
CANCER                        ,BB31.,[M]Basal cell carcinoma NOS                                                                                                                                                                                                                                    ,[M]Basal cell carcinoma NOS                                                                                                                                                                           ,[M]Basal cell carcinoma NOS   ,,,Non-melanoma skin cancer (8)                      
CANCER                        ,BB32.,[M]Multicentric basal cell carcinoma                                                                                                                                                                                                                           ,[M]Multicentric basal cell carcinoma                                                                                                                                                                  ,[M]Multicentric basal cell ca ,[M]Multicentric basal cell carcinoma                        ,,Non-melanoma skin cancer (8)                      
CANCER                        ,BB33.,"[M]Basal cell carcinoma, morphoea type                                                                                                                                                                                                                         ","[M]Basal cell carcinoma, morphoea type                                                                                                                                                                ","[M]Basal cell ca.,morphoea    ","[M]Basal cell carcinoma, morphoea type                      ",,Non-melanoma skin cancer (8)                      
CANCER                        ,BB34.,"[M]Basal cell carcinoma, fibroepithelial type                                                                                                                                                                                                                  ","[M]Basal cell carcinoma, fibroepithelial type                                                                                                                                                         ","[M]Basal cell ca.,fibroepith. ","[M]Basal cell carcinoma, fibroepithelial type               ",,Non-melanoma skin cancer (8)                      
CANCER                        ,BB35.,[M]Basosquamous carcinoma                                                                                                                                                                                                                                      ,[M]Basosquamous carcinoma                                                                                                                                                                             ,[M]Basosquamous carcinoma     ,,,Solid tumour (3)                                  
CANCER                        ,BB36.,[M]Metatypical carcinoma                                                                                                                                                                                                                                       ,[M]Metatypical carcinoma                                                                                                                                                                              ,[M]Metatypical carcinoma      ,,,Solid tumour (3)                                  
CANCER                        ,BB4..,[M]Transitional cell papillomas and carcinomas                                                                                                                                                                                                                 ,[M]Transitional cell papillomas and carcinomas                                                                                                                                                        ,[M]Transit.cell papilloma/ca  ,[M]Transitional cell papillomas and carcinomas              ,,Solid tumour (3)                                  
CANCER                        ,BB43.,[M]Transitional cell carcinoma NOS                                                                                                                                                                                                                             ,[M]Transitional cell carcinoma NOS                                                                                                                                                                    ,[M]Transitional cell ca. NOS  ,[M]Transitional cell carcinoma NOS                          ,,Solid tumour (3)                                  
CANCER                        ,BB47.,"[M]Transitional cell carcinoma, spindle cell type                                                                                                                                                                                                              ","[M]Transitional cell carcinoma, spindle cell type                                                                                                                                                     ","[M]Transit.cell ca.,spindle   ","[M]Transitional cell carcinoma, spindle cell type           ",,Solid tumour (3)                                  
CANCER                        ,BB48.,[M]Basaloid carcinoma                                                                                                                                                                                                                                          ,[M]Basaloid carcinoma                                                                                                                                                                                 ,[M]Basaloid carcinoma         ,,,Solid tumour (3)                                  
CANCER                        ,BB49.,[M]Cloacogenic carcinoma                                                                                                                                                                                                                                       ,[M]Cloacogenic carcinoma                                                                                                                                                                              ,[M]Cloacogenic carcinoma      ,,,Solid tumour (3)                                  
CANCER                        ,BB4A.,[M]Papillary transitional cell carcinoma                                                                                                                                                                                                                       ,[M]Papillary transitional cell carcinoma                                                                                                                                                              ,[M]Papillary transit.cell ca. ,[M]Papillary transitional cell carcinoma                    ,,Solid tumour (3)                                  
CANCER                        ,BB4z.,[M]Transitional cell papilloma or carcinoma NOS                                                                                                                                                                                                                ,[M]Transitional cell papilloma or carcinoma NOS                                                                                                                                                       ,[M]Transit.cell papill/ca.NOS ,[M]Transitional cell papilloma or carcinoma NOS             ,,Solid tumour (3)                                  
CANCER                        ,BB5..,[M]Adenomas and adenocarcinomas                                                                                                                                                                                                                                ,[M]Adenomas and adenocarcinomas                                                                                                                                                                       ,[M]Adenomas/adenocarcinomas   ,[M]Adenomas and adenocarcinomas                             ,,Solid tumour (3)                                  
CANCER                        ,BB52.,[M]Adenocarcinoma NOS                                                                                                                                                                                                                                          ,[M]Adenocarcinoma NOS                                                                                                                                                                                 ,[M]Adenocarcinoma NOS         ,,,Solid tumour (3)                                  
CANCER                        ,BB520,[M]Adenocarcinoma in tubulovillous adenoma                                                                                                                                                                                                                     ,[M]Adenocarcinoma in tubulovillous adenoma                                                                                                                                                            ,[M]Adenocar tubulovil adenoma ,[M]Adenocarcinoma in tubulovillous adenoma                  ,,Solid tumour (3)                                  
CANCER                        ,BB53.,"[M]Adenocarcinoma, metastatic, NOS                                                                                                                                                                                                                             ","[M]Adenocarcinoma, metastatic, NOS                                                                                                                                                                    ","[M]Adenocarc., metastatic NOS ","[M]Adenocarcinoma, metastatic, NOS                          ",,Metastases (6)                                    
CANCER                        ,BB54.,[M]Scirrhous adenocarcinoma                                                                                                                                                                                                                                    ,[M]Scirrhous adenocarcinoma                                                                                                                                                                           ,[M]Scirrhous adenocarcinoma   ,,,Solid tumour (3)                                  
CANCER                        ,BB55.,[M]Linitis plastica                                                                                                                                                                                                                                            ,[M]Linitis plastica                                                                                                                                                                                   ,[M]Linitis plastica           ,,,Solid tumour (3)                                  
CANCER                        ,BB56.,[M]Superficial spreading adenocarcinoma                                                                                                                                                                                                                        ,[M]Superficial spreading adenocarcinoma                                                                                                                                                               ,[M]Superfic.spreading adenoca.,[M]Superficial spreading adenocarcinoma                     ,,Solid tumour (3)                                  
CANCER                        ,BB57.,"[M]Adenocarcinoma, intestinal type                                                                                                                                                                                                                             ","[M]Adenocarcinoma, intestinal type                                                                                                                                                                    ","[M]Adenocarcinoma, intestinal ","[M]Adenocarcinoma, intestinal type                          ",,Solid tumour (3)                                  
CANCER                        ,BB58.,"[M]Carcinoma, diffuse type                                                                                                                                                                                                                                     ","[M]Carcinoma, diffuse type                                                                                                                                                                            ","[M]Carcinoma, diffuse type    ",,,Solid tumour (3)                                  
CANCER                        ,BB5B.,[M]Pancreatic adenomas and carcinomas                                                                                                                                                                                                                          ,[M]Pancreatic adenomas and carcinomas                                                                                                                                                                 ,[M]Pancreatic adenoma/ca.     ,[M]Pancreatic adenomas and carcinomas                       ,,Solid tumour (3)                                  
CANCER                        ,BB5B1,[M]Islet cell carcinoma                                                                                                                                                                                                                                        ,[M]Islet cell carcinoma                                                                                                                                                                               ,[M]Islet cell carcinoma       ,,,Solid tumour (3)                                  
CANCER                        ,BB5B6,[M]Mixed islet cell and exocrine adenocarcinoma                                                                                                                                                                                                                ,[M]Mixed islet cell and exocrine adenocarcinoma                                                                                                                                                       ,[M]Mixed islet/exocr. adenoca.,[M]Mixed islet cell and exocrine adenocarcinoma             ,,Solid tumour (3)                                  
CANCER                        ,BB5Bz,[M]Pancreatic adenoma or carcinoma NOS                                                                                                                                                                                                                         ,[M]Pancreatic adenoma or carcinoma NOS                                                                                                                                                                ,[M]Pancreatic adenoma/ca NOS  ,[M]Pancreatic adenoma or carcinoma NOS                      ,,Solid tumour (3)                                  
CANCER                        ,BB5C.,[M]Gastrinoma and carcinomas                                                                                                                                                                                                                                   ,[M]Gastrinoma and carcinomas                                                                                                                                                                          ,[M]Gastrinoma and carcinomas  ,,,Solid tumour (3)                                  
CANCER                        ,BB5Cz,[M]Gastrinoma or carcinoma NOS                                                                                                                                                                                                                                 ,[M]Gastrinoma or carcinoma NOS                                                                                                                                                                        ,[M]Gastrinoma / carcinoma NOS ,[M]Gastrinoma or carcinoma NOS                              ,,Solid tumour (3)                                  
CANCER                        ,BB5D.,[M]Hepatobiliary tract adenomas and carcinomas                                                                                                                                                                                                                 ,[M]Hepatobiliary tract adenomas and carcinomas                                                                                                                                                        ,[M]Hepatobil. tract adenoma/ca,[M]Hepatobiliary tract adenomas and carcinomas              ,,Solid tumour (3)                                  
CANCER                        ,BB5D1,[M]Cholangiocarcinoma                                                                                                                                                                                                                                          ,[M]Cholangiocarcinoma                                                                                                                                                                                 ,[M]Cholangiocarcinoma         ,,,Solid tumour (3)                                  
CANCER                        ,BB5D3,[M]Bile duct cystadenocarcinoma                                                                                                                                                                                                                                ,[M]Bile duct cystadenocarcinoma                                                                                                                                                                       ,[M]Bile duct cystadenocarcino ,[M]Bile duct cystadenocarcinoma                             ,,Solid tumour (3)                                  
CANCER                        ,BB5D5,[M]Hepatocellular carcinoma NOS                                                                                                                                                                                                                                ,[M]Hepatocellular carcinoma NOS                                                                                                                                                                       ,[M]Hepatocellular ca. NOS     ,[M]Hepatocellular carcinoma NOS                             ,,Solid tumour (3)                                  
CANCER                        ,BB5D8,"[M]Hepatocellular carcinoma, fibrolamellar                                                                                                                                                                                                                     ","[M]Hepatocellular carcinoma, fibrolamellar                                                                                                                                                            ","[M]Hepatocell carcin, fibrolam","[M]Hepatocellular carcinoma, fibrolamellar                  ",,Solid tumour (3)                                  
CANCER                        ,BB5Dz,[M]Hepatobiliary adenoma or carcinoma NOS                                                                                                                                                                                                                      ,[M]Hepatobiliary adenoma or carcinoma NOS                                                                                                                                                             ,[M]Hepatobil. adenoma/ca NOS  ,[M]Hepatobiliary adenoma or carcinoma NOS                   ,,Solid tumour (3)                                  
CANCER                        ,BB5F.,[M]Trabecular adenocarcinoma                                                                                                                                                                                                                                   ,[M]Trabecular adenocarcinoma                                                                                                                                                                          ,[M]Trabecular adenocarcinoma  ,,,Solid tumour (3)                                  
CANCER                        ,BB5J.,[M]Adenoid cystic carcinoma                                                                                                                                                                                                                                    ,[M]Adenoid cystic carcinoma                                                                                                                                                                           ,[M]Adenoid cystic carcinoma   ,,,Solid tumour (3)                                  
CANCER                        ,BB5K.,[M]Cribriform carcinoma                                                                                                                                                                                                                                        ,[M]Cribriform carcinoma                                                                                                                                                                               ,[M]Cribriform carcinoma       ,,,Solid tumour (3)                                  
CANCER                        ,BB5L.,[M]Adenomatous and adenocarcinomatous polyps                                                                                                                                                                                                                   ,[M]Adenomatous and adenocarcinomatous polyps                                                                                                                                                          ,[M]Adenoma/carcinoma polyp    ,[M]Adenomatous and adenocarcinomatous polyps                ,,Solid tumour (3)                                  
CANCER                        ,BB5L1,[M]Adenocarcinoma in adenomatous polyp                                                                                                                                                                                                                         ,[M]Adenocarcinoma in adenomatous polyp                                                                                                                                                                ,[M]Adenoca.in adenomat.polyp  ,[M]Adenocarcinoma in adenomatous polyp                      ,,Solid tumour (3)                                  
CANCER                        ,BB5L3,[M]Adenocarcinoma in multiple adenomatous polyps                                                                                                                                                                                                               ,[M]Adenocarcinoma in multiple adenomatous polyps                                                                                                                                                      ,[M]Adencarc multp adenom polyp,[M]Adenocarcinoma in multiple adenomatous polyps            ,,Solid tumour (3)                                  
CANCER                        ,BB5Lz,[M]Adenomatous or adenocarcinomatous polyp NOS                                                                                                                                                                                                                 ,[M]Adenomatous or adenocarcinomatous polyp NOS                                                                                                                                                        ,[M]Adenoma/carcinoma polyp NOS,[M]Adenomatous or adenocarcinomatous polyp NOS              ,,Solid tumour (3)                                  
CANCER                        ,BB5M.,[M]Tubular adenomas and adenocarcinomas                                                                                                                                                                                                                        ,[M]Tubular adenomas and adenocarcinomas                                                                                                                                                               ,[M]Tubular adenoma/carcinoma  ,[M]Tubular adenomas and adenocarcinomas                     ,,Solid tumour (3)                                  
CANCER                        ,BB5M1,[M]Tubular adenocarcinoma                                                                                                                                                                                                                                      ,[M]Tubular adenocarcinoma                                                                                                                                                                             ,[M]Tubular adenocarcinoma     ,,,Solid tumour (3)                                  
CANCER                        ,BB5Mz,[M]Tubular adenoma or adenocarcinoma NOS                                                                                                                                                                                                                       ,[M]Tubular adenoma or adenocarcinoma NOS                                                                                                                                                              ,[M]Tubular adenoma/ca NOS     ,[M]Tubular adenoma or adenocarcinoma NOS                    ,,Solid tumour (3)                                  
CANCER                        ,BB5N.,[M]Adenomatous and adenocarcinomatous polyps of colon                                                                                                                                                                                                          ,[M]Adenomatous and adenocarcinomatous polyps of colon                                                                                                                                                 ,[M]Adenoma/ca polyps of colon ,[M]Adenomatous and adenocarcinomatous polyps of colon       ,,Solid tumour (3)                                  
CANCER                        ,BB5N1,[M]Adenocarcinoma in adenomatous polposis coli                                                                                                                                                                                                                 ,[M]Adenocarcinoma in adenomatous polposis coli                                                                                                                                                        ,[M]Adenoca.in adenom.polp.coli,[M]Adenocarcinoma in adenomatous polposis coli              ,,Solid tumour (3)                                  
CANCER                        ,BB5Nz,[M]Adenomatous or adenocarcinomatous polyps of the colon NOS                                                                                                                                                                                                   ,[M]Adenomatous or adenocarcinomatous polyps of the colon NOS                                                                                                                                          ,[M]Adenoma/ca polyps colon NOS,[M]Adenomatous or adenocarcinomatous polyps of the colon NOS,,Solid tumour (3)                                  
